date,students,teachers,staff
9/28/2020,1676,335,343
10/12/2020,2387,481,542
10/19/2020,2843,567,655
10/26/2020,3507,719,801
11/2/2020,4363,919,1055
11/9/2020,5916,1235,1429
11/16/2020,8217,1685,1971
11/23/2020,10451,2178,2537
11/30/2020,11677,2486,2899
12/07/2020,14011,2999,3533
12/14/2020,16383,3404,4118
12/21/2020,18460,3798,4610
12/28/2020,18849,3896,4713
01/04/2021,19057,4000,4771
01/11/2021,20710,4375,5141
01/18/2021,22533,4672,5464
01/25/2021,24210,4951,5788
02/01/2021,25494,5192,6122
02/08/2021,26585,5354,6314
02/15/2021,27400,5490,6468
02/22/2021,27802,5569,6554
03/01/2021,28272,5631,6622
03/08/2021,28719,5732,6697
03/15/2021,29228,5814,6806
03/22/2021,29736,5899,6890
03/29/2021,30075,5948,6947
04/05/2021,30460,6002,7005
04/12/2021,30930,6040,7078
04/19/2021,31658,6101,7139
04/26/2021,32364,6138,7212
